"",danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,mode
82,0.691,0.631,2,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,4,161123,1
83,0.728,0.638,5,-6.455,0.0336,0.249,0,0.116,0.872,130.014,4,193030,0
84,0.665,0.542,11,-8.323,0.033,0.123,0.00291,0.342,0.587,97.975,4,257563,0
85,0.464,0.417,0,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528,4,183956,0
86,0.505,0.898,7,-4.906,0.0329,0.000518,0.00236,0.173,0.731,118.929,4,234920,1
87,0.343,0.89,7,-5.759,0.0655,0.000821,0,0.0912,0.525,100.061,4,217440,1
88,0.285,0.807,2,-4.741,0.0528,0.00123,0.00368,0.317,0.542,132.206,4,179906,1
89,0.449,0.872,11,-4.992,0.0507,0.000793,0.00062,0.0642,0.788,130.22,4,180373,1
90,0.434,0.912,9,-5.148,0.0451,0.0191,0.278,0.326,0.315,119.729,4,183506,1
91,0.304,0.939,1,-5.836,0.0549,0.000142,0.00601,0.136,0.402,96.954,4,142173,1
92,0.511,0.943,2,-4.934,0.0537,0.00135,0.0181,0.187,0.531,127.283,4,232280,1
93,0.585,0.694,2,-6.632,0.0392,0.00037,0.0144,0.0724,0.785,127.966,4,162746,1
94,0.443,0.865,4,-4.547,0.0391,0.00724,0.000116,0.468,0.474,110.008,4,203880,1
95,0.349,0.662,11,-6.873,0.0402,0.00197,0.908,0.136,0.554,169.926,4,191426,1
96,0.339,0.932,4,-5.017,0.057,0.00105,0.114,0.255,0.586,128.291,4,225986,1
97,0.481,0.883,4,-5.554,0.0638,0.000679,0.558,0.145,0.46,135.937,4,256800,1
98,0.505,0.898,7,-4.906,0.0329,0.000518,0.00236,0.173,0.731,118.929,4,234920,1
99,0.343,0.89,7,-5.759,0.0655,0.000821,0,0.0912,0.525,100.061,4,217440,1
100,0.285,0.807,2,-4.741,0.0528,0.00123,0.00368,0.317,0.542,132.206,4,179906,1
101,0.449,0.872,11,-4.992,0.0507,0.000793,0.00062,0.0642,0.788,130.22,4,180373,1
102,0.434,0.912,9,-5.148,0.0451,0.0191,0.278,0.326,0.315,119.729,4,183506,1
103,0.304,0.939,1,-5.836,0.0549,0.000142,0.00601,0.136,0.402,96.954,4,142173,1
104,0.511,0.943,2,-4.934,0.0537,0.00135,0.0181,0.187,0.531,127.283,4,232280,1
105,0.585,0.694,2,-6.632,0.0392,0.00037,0.0144,0.0724,0.785,127.966,4,162746,1
106,0.443,0.865,4,-4.547,0.0391,0.00724,0.000116,0.468,0.474,110.008,4,203880,1
107,0.349,0.662,11,-6.873,0.0402,0.00197,0.908,0.136,0.554,169.926,4,191426,1
108,0.339,0.932,4,-5.017,0.057,0.00105,0.114,0.255,0.586,128.291,4,225986,1
109,0.481,0.883,4,-5.554,0.0638,0.000679,0.558,0.145,0.46,135.937,4,256800,1
110,0.415,0.657,9,-6.758,0.0295,0.052,0.0552,0.233,0.69,115.752,4,205746,0
111,0.498,0.885,4,-4.423,0.0461,0.0148,0.00041,0.239,0.67,106.719,4,224826,0
112,0.34,0.922,3,-5.189,0.18,0.0129,2.39e-06,0.226,0.532,125.363,4,210666,1
113,0.323,0.806,7,-6.554,0.0769,0.0314,1.11e-05,0.181,0.548,124.615,4,223066,0
114,0.421,0.758,4,-8.945,0.0429,0.0062,0.0673,0.0905,0.767,103.659,4,212133,0
115,0.566,0.61,2,-11.228,0.0388,0.165,0.006,0.215,0.406,114.904,4,237533,1
116,0.287,0.721,9,-5.81,0.0387,0.00764,0,0.328,0.763,169.252,4,197973,1
117,0.538,0.607,1,-9.133,0.0352,0.0586,0.769,0.0975,0.543,100.158,4,283493,0
118,0.244,0.896,6,-5.576,0.464,0.0614,2.83e-05,0.127,0.142,83.354,4,220506,0
119,0.51,0.8,0,-8.116,0.0488,0.137,0.0834,0.118,0.391,96.935,4,344053,0
120,0.415,0.657,9,-6.758,0.0295,0.052,0.0552,0.233,0.69,115.752,4,205746,0
121,0.498,0.885,4,-4.423,0.0461,0.0148,0.00041,0.239,0.67,106.719,4,224826,0
122,0.34,0.922,3,-5.189,0.18,0.0129,2.39e-06,0.226,0.532,125.363,4,210666,1
123,0.323,0.806,7,-6.554,0.0769,0.0314,1.11e-05,0.181,0.548,124.615,4,223066,0
124,0.421,0.758,4,-8.945,0.0429,0.0062,0.0673,0.0905,0.767,103.659,4,212133,0
125,0.566,0.61,2,-11.228,0.0388,0.165,0.006,0.215,0.406,114.904,4,237533,1
126,0.287,0.721,9,-5.81,0.0387,0.00764,0,0.328,0.763,169.252,4,197973,1
127,0.538,0.607,1,-9.133,0.0352,0.0586,0.769,0.0975,0.543,100.158,4,283493,0
128,0.244,0.896,6,-5.576,0.464,0.0614,2.83e-05,0.127,0.142,83.354,4,220506,0
129,0.51,0.8,0,-8.116,0.0488,0.137,0.0834,0.118,0.391,96.935,4,344053,0
130,0.421,0.98,1,-4.229,0.212,8.39e-05,0.00125,0.237,0.435,165.193,4,170253,1
